wp1,wp2,wp3,wp4,wp5,wp6,wp7
0.045,0.233,0.494,0.105,0.056,0.118,0.051
0.085,0.249,0.257,0.105,0.066,0.066,0.051
0.02,0.175,0.178,0.033,0.015,0.026,0
0.06,0.085,0.109,0.022,0.01,0.013,0
0.045,0.032,0.079,0.039,0.01,0,0
0.035,0.011,0.099,0.066,0.015,0.013,0
0.005,0,0.069,0.105,0.015,0.079,0
0,0.011,0,0.017,0.025,0.013,0.025
0,0.016,0,0.017,0.046,0,0
0.01,0,0,0.006,0.081,0,0
0.025,0.005,0,0,0.101,0,0
0.03,0.021,0,0,0.111,0,0
0.01,0.021,0,0,0.121,0,0
0,0.026,0,0,0.111,0,0
0.01,0.021,0,0,0.137,0,0
0,0.016,0,0,0.106,0,0
0,0.021,0,0,0.086,0,0
0,0.016,0,0,0.056,0,0
0.005,0.032,0,0,0.03,0,0
0,0.037,0,0.017,0.02,0.013,0
0,0.048,0,0.05,0,0.013,0
0,0.058,0,0.033,0.005,0.026,0
0.005,0.09,0,0.044,0.005,0.013,0
0.015,0.127,0,0,0.01,0.013,0
0,0.164,0,0,0,0,0
0,0.138,0.01,0,0,0,0
0.01,0.116,0.02,0,0,0,0
0.01,0.079,0.02,0,0,0,0
0,0.074,0,0,0,0,0
0,0.063,0,0,0.02,0,0
0,0.074,0,0,0.015,0,0
0,0.058,0,0,0.005,0,0
0,0.053,0,0,0,0,0
0.015,0.058,0.02,0,0,0,0
0.03,0.053,0.049,0,0,0,0
0.01,0.101,0.04,0,0,0,0
0,0.074,0.059,0,0,0,0
0,0.058,0.079,0,0,0,0
0,0.085,0.079,0,0,0,0
0,0.085,0.099,0,0,0.013,0
0.01,0.116,0.099,0.039,0,0.039,0
0.01,0.143,0.099,0.05,0,0.053,0.025
0.01,0.175,0.099,0.055,0.005,0.039,0
0.01,0.175,0.178,0.105,0,0.053,0.025
0.01,0.201,0.247,0.088,0,0.092,0.076
0.08,0.222,0.178,0.066,0,0.079,0.076
0.025,0.291,0.237,0.011,0,0.053,0
0.08,0.444,0.366,0,0.005,0.053,0
0.201,0.386,0.415,0,0,0.026,0
0.12,0.397,0.267,0,0.005,0.013,0
0.035,0.296,0.138,0,0.005,0,0
0.05,0.259,0.128,0,0.02,0,0
0.08,0.206,0.178,0,0.015,0.013,0
0.065,0.122,0.267,0.039,0.035,0.039,0
0.14,0.101,0.227,0.072,0.046,0.447,0.354
0.08,0.106,0.208,0.143,0.03,0.526,0.682
0.055,0.138,0.178,0.154,0.03,0.382,0.429
0.025,0.069,0.158,0.072,0.046,0.342,0.303
0.04,0.053,0.168,0.171,0.071,0.316,0.227
0.1,0.085,0.138,0.176,0.071,0.158,0.429
0.175,0.069,0.099,0.094,0.091,0.145,0.354
0.13,0.106,0.148,0.055,0.121,0.158,0.253
0.095,0.143,0.168,0.066,0.126,0.132,0.152
0.095,0.127,0.267,0.105,0.066,0.184,0.177
0.19,0.159,0.336,0.347,0.106,0.329,0.354
0.221,0.259,0.237,0.573,0.157,0.329,0.278
0.226,0.455,0.099,0.441,0.238,0.25,0.152
0.301,0.524,0.128,0.347,0.334,0.237,0.126
0.421,0.497,0.188,0.518,0.258,0.237,0.126
0.486,0.529,0.188,0.468,0.334,0.237,0.126
0.476,0.492,0.049,0.452,0.399,0.211,0.051
0.476,0.36,0.049,0.364,0.056,0.211,0.051
0.521,0.212,0.148,0.187,0.081,0.079,0.025
0.476,0.09,0.079,0.165,0.091,0.092,0
0.501,0.074,0.089,0.264,0.283,0.079,0
0.662,0.058,0.168,0.65,0.253,0.066,0
0.747,0.021,0.148,0.595,0.278,0.053,0
0.622,0.042,0.04,0.38,0.349,0.382,0.025
0.406,0.037,0.059,0.386,0.278,0.368,0.177
0.19,0.016,0.326,0.088,0.283,0.184,0.227
0.11,0,0.346,0.006,0.298,0.092,0.101
0.075,0,0.455,0.011,0.222,0.105,0.051
0.135,0,0.257,0.05,0.228,0.105,0.051
0.11,0,0.247,0.171,0.248,0.079,0.025
0.201,0.016,0.049,0.132,0.359,0.092,0.025
0.386,0.037,0,0.105,0.45,0.079,0.126
0.461,0.026,0,0.127,0.344,0.039,0.051
0.451,0.011,0.01,0.182,0.339,0.053,0.051
0.376,0.005,0.03,0.116,0.177,0.066,0.076
0.266,0.021,0.059,0.061,0.177,0.066,0.051
0.241,0.037,0.089,0.039,0.217,0.053,0.025
0.236,0.042,0.109,0.033,0.207,0.039,0
0.226,0.053,0.119,0.061,0.349,0.026,0
0.271,0.085,0.099,0.028,0.238,0.013,0
0.271,0.079,0.089,0.006,0.131,0.013,0
0.296,0.058,0.069,0.022,0.066,0.013,0
0.19,0.042,0.079,0.017,0.015,0,0
0.12,0.032,0.059,0.039,0.015,0,0
0.195,0.021,0.059,0.05,0.025,0,0
0.281,0.016,0.069,0.05,0.091,0,0
0.221,0.005,0.049,0.033,0.238,0,0
0.14,0.021,0,0.039,0.258,0,0
0.216,0.032,0,0.022,0.243,0.053,0
0.281,0.037,0,0.154,0.217,0.132,0.076
0.206,0.058,0,0.176,0.177,0.171,0.126
0.185,0.122,0,0.127,0.147,0.211,0.126
0.246,0.159,0,0.039,0.111,0.171,0.177
0.266,0.148,0,0.006,0.086,0.079,0.076
0.165,0.185,0,0,0.051,0.013,0
0.025,0.143,0,0,0.01,0,0
0.01,0.079,0,0,0,0,0
0,0.021,0,0,0.02,0,0
0.01,0.085,0.02,0,0.086,0,0
0.035,0.053,0.069,0,0.157,0,0
0.03,0.042,0.099,0.022,0.172,0.013,0
0.02,0.106,0.138,0.017,0.243,0.039,0
0.045,0.19,0.168,0.022,0.238,0.053,0
0.07,0.206,0.168,0,0.248,0.039,0
0.085,0.185,0.128,0.061,0.278,0.053,0
0.065,0.317,0.119,0.039,0.167,0.053,0.025
0.015,0.153,0.119,0.011,0.111,0.197,0.328
0.01,0.048,0.158,0.088,0.126,0.039,0.101
0.035,0.085,0.168,0.017,0.096,0.013,0
0.09,0.138,0.119,0.006,0.056,0.013,0
0.115,0.233,0.128,0.061,0.03,0.013,0
0.06,0.37,0.257,0.017,0.015,0.039,0
0.05,0.54,0.079,0,0.01,0.039,0
0.03,0.54,0.03,0,0.01,0.013,0
0,0.481,0.03,0,0.02,0,0
0,0.471,0.049,0,0,0.013,0
0.04,0.196,0.119,0,0.02,0.013,0
0.04,0.153,0.069,0,0.005,0.026,0
0.09,0.238,0.128,0,0.035,0,0
0.125,0.132,0.049,0,0.046,0,0
0.085,0.127,0.069,0.006,0.015,0,0
0.055,0.201,0.326,0,0.005,0,0
0.085,0.243,0.405,0,0.03,0.053,0.025
0.211,0.344,0.366,0.006,0.01,0.079,0.025
0.266,0.397,0.316,0.105,0.015,0.053,0.025
0.185,0.45,0.247,0.061,0.051,0.053,0.051
0.16,0.476,0.217,0.028,0.056,0.053,0.025
0.075,0.497,0.277,0.006,0.086,0.026,0
0.175,0.635,0.128,0.006,0.081,0.013,0
0.12,0.619,0.059,0.121,0.051,0.158,0
0.02,0.519,0.03,0.132,0.025,0.303,0.354
0.05,0.413,0,0,0.051,0.066,0.152
0.07,0.402,0.02,0,0.035,0.013,0
