AGZS_ID,REMNANTS_DATE,DAYSALES
285,2013-09-29T23:59:00,1723
286,2013-09-29T23:59:00,2261
287,2013-09-29T23:59:00,2931
288,2013-09-29T23:59:00,702
290,2013-09-29T23:59:00,731
367,2014-06-09T00:00:00,794
152,2014-02-14T00:00:00,375
367,2014-06-10T00:00:00,1244
152,2014-02-15T00:00:00,287
152,2014-02-16T00:00:00,109
152,2014-02-17T00:00:00,778
152,2014-02-18T00:00:00,544
152,2014-02-19T00:00:00,510
152,2014-02-20T00:00:00,934
152,2014-02-21T00:00:00,511
367,2014-06-11T00:00:00,768
152,2014-02-22T00:00:00,873
367,2014-06-12T00:00:00,1134
367,2014-06-13T00:00:00,847
367,2014-06-14T00:00:00,888
367,2014-06-15T00:00:00,998
385,2013-09-29T23:59:00,0
367,2014-06-16T00:00:00,863
367,2014-06-17T00:00:00,936
367,2014-06-18T00:00:00,852
367,2014-06-19T00:00:00,818
152,2014-02-23T00:00:00,277
367,2014-06-20T00:00:00,881
367,2014-06-21T00:00:00,964
367,2014-06-22T00:00:00,757
367,2014-06-23T00:00:00,974
367,2014-06-24T00:00:00,884
367,2014-06-25T00:00:00,624
367,2014-06-26T00:00:00,881
367,2014-06-27T00:00:00,1078
367,2014-06-28T00:00:00,1030
367,2014-06-29T00:00:00,926
152,2014-02-24T00:00:00,670
152,2014-02-25T00:00:00,333
367,2014-06-30T00:00:00,1014
367,2014-07-01T00:00:00,804
152,2014-02-26T00:00:00,663
385,2013-10-06T23:59:00,0
386,2013-10-06T23:59:00,0
194,2013-09-29T23:59:00,619
115,2013-09-29T23:59:00,1154
116,2013-09-29T23:59:00,1975
117,2013-09-29T23:59:00,1754
118,2013-09-29T23:59:00,2487
119,2013-09-29T23:59:00,1062
120,2013-09-29T23:59:00,1717
121,2013-09-29T23:59:00,812
122,2013-09-29T23:59:00,836
123,2013-09-29T23:59:00,2076
124,2013-09-29T23:59:00,2077
125,2013-09-29T23:59:00,1715
126,2013-09-29T23:59:00,1202
127,2013-09-29T23:59:00,2072
128,2013-09-29T23:59:00,2229
129,2013-09-29T23:59:00,2641
130,2013-09-29T23:59:00,3558
131,2013-09-29T23:59:00,2759
132,2013-09-29T23:59:00,2685
133,2013-09-29T23:59:00,1887
134,2013-09-29T23:59:00,2552
135,2013-09-29T23:59:00,1956
136,2013-09-29T23:59:00,3610
137,2013-09-29T23:59:00,1548
138,2013-09-29T23:59:00,3242
139,2013-09-29T23:59:00,3786
327,2013-09-29T23:59:00,1433
367,2014-07-02T00:00:00,664
367,2014-07-03T00:00:00,1080
152,2014-02-27T00:00:00,713
385,2014-05-14T23:59:00,0
367,2014-07-04T00:00:00,1061
152,2014-02-28T00:00:00,912
367,2014-07-05T00:00:00,828
386,2014-05-14T23:59:00,0
152,2014-03-01T00:00:00,1083
367,2014-07-06T00:00:00,746
152,2014-03-02T00:00:00,944
152,2014-03-03T00:00:00,620
152,2014-03-04T00:00:00,650
152,2014-03-05T00:00:00,618
152,2014-03-06T00:00:00,718
152,2014-03-07T00:00:00,784
152,2014-03-08T00:00:00,604
152,2014-03-09T00:00:00,530
152,2014-03-10T00:00:00,1131
152,2014-03-11T00:00:00,447
152,2014-03-12T00:00:00,848
152,2014-03-13T00:00:00,807
152,2014-03-14T00:00:00,660
194,2013-10-06T23:59:00,950
265,2013-10-06T23:59:00,1795
367,2014-07-07T00:00:00,875
114,2013-01-01T23:59:00,273
115,2013-01-01T23:59:00,339
116,2013-01-01T23:59:00,264
117,2013-01-01T23:59:00,850
118,2013-01-01T23:59:00,1743
119,2013-01-01T23:59:00,266
120,2013-01-01T23:59:00,528
121,2013-01-01T23:59:00,179
122,2013-01-01T23:59:00,251
123,2013-01-01T23:59:00,248
124,2013-01-01T23:59:00,596
125,2013-01-01T23:59:00,657
126,2013-01-01T23:59:00,203
127,2013-01-01T23:59:00,281
128,2013-01-01T23:59:00,547
129,2013-01-01T23:59:00,369
130,2013-01-01T23:59:00,593
131,2013-01-01T23:59:00,654
132,2013-01-01T23:59:00,1089
133,2013-01-01T23:59:00,643
134,2013-01-01T23:59:00,537
135,2013-01-01T23:59:00,928
136,2013-01-01T23:59:00,536
137,2013-01-01T23:59:00,817
138,2013-01-01T23:59:00,802
139,2013-01-01T23:59:00,1382
327,2013-01-01T23:59:00,332
114,2013-01-02T23:59:00,195
115,2013-01-02T23:59:00,411
116,2013-01-02T23:59:00,1304
117,2013-01-02T23:59:00,1042
118,2013-01-02T23:59:00,922
119,2013-01-02T23:59:00,854
120,2013-01-02T23:59:00,1195
